soort,species,abbr,inHBTRL,inBE2100016,inBE2100024,inBE2100026,inBE2100040,inBE2200028,inBE2200031,inBE2200033,inBE2200038,inBE2300005,inBE2300006,inBE2300007,inBE2300044,inBE2400014,inBE2500002,inBE2100015,inBE2100017,inBE2100019,inBE2100020,inBE2100045,inBE2200029,inBE2200030,inBE2200032,inBE2200034,inBE2200035,inBE2200036,inBE2200037,inBE2200039,inBE2200041,inBE2200042,inBE2200043,inBE2400008,inBE2400009,inBE2400010,inBE2400011,inBE2400012,inBE2500001,inBE2500003,inBE2500004,ofHBTRL,ofBE2100016,ofBE2100024,ofBE2100026,ofBE2100040,ofBE2200028,ofBE2200031,ofBE2200033,ofBE2200038,ofBE2300005,ofBE2300006,ofBE2300007,ofBE2300044,ofBE2400014,ofBE2500002,ofBE2100015,ofBE2100017,ofBE2100019,ofBE2100020,ofBE2100045,ofBE2200029,ofBE2200030,ofBE2200032,ofBE2200034,ofBE2200035,ofBE2200036,ofBE2200037,ofBE2200039,ofBE2200041,ofBE2200042,ofBE2200043,ofBE2400008,ofBE2400009,ofBE2400010,ofBE2400011,ofBE2400012,ofBE2500001,ofBE2500003,ofBE2500004,selHBTRL,selBE2100016,selBE2100024,selBE2100026,selBE2100040,selBE2200028,selBE2200031,selBE2200033,selBE2200038,selBE2300005,selBE2300006,selBE2300007,selBE2300044,selBE2400014,selBE2500002,selBE2100015,selBE2100017,selBE2100019,selBE2100020,selBE2100045,selBE2200029,selBE2200030,selBE2200032,selBE2200034,selBE2200035,selBE2200036,selBE2200037,selBE2200039,selBE2200041,selBE2200042,selBE2200043,selBE2400008,selBE2400009,selBE2400010,selBE2400011,selBE2400012,selBE2500001,selBE2500003,selBE2500004
smalle olijfwilg,Elaeagnus angustifolia L.,Ea,0.253194,0,0,0,0,0,0,0,0,0,0.063555,0,0.003955,0,0.000135,0,0,0,0, 0.007849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.177699,0,0,0.001914,0,0,0,0,0,0,0,0,0,0.005633,0,0.001751,0,0.000057,0,0,0,0, 0.017381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.037298,0,0,3.285664,0,0,0,0,0,0,0,0,0,9.670432,0,3.006474,0,0.098509,0,0,0,0,29.838092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.029774,0,0
watercrassula,Crassula helmsii (Kirk) Cockayne,Ch,0.327267,0.006446, 0.042454,0.008603,0.023693,0.002407,0.012124,0.002606,0,0.018317,0.011043,0.004068,0.003425,0.018406,0.001917,0.005304,0.001291,  0.054913, 0.014306,0.001739,0.005155,0.001057,0, 0.029081,0,0,0.002240,0,0,0.001040,0,0,0,0,0.003657,0.002495,0.025488,0.001003, 0.022990,0.008217,0.007429, 0.030861,0.004644,0.014506,0.011848,0.008814,0.002723,0,0.014303,0.003251,0.001933,0.005037,0.009884,0.002708,0.006776,0.000649,  0.207635, 0.055644,0.012788,0.001636,0.000740,0, 0.041020,0,0,0.007579,0,0,0.003980,0,0,0,0,0.002371,0.002932,0.017770,0.001408, 0.019786,4.246903,3.839472,15.950535,2.400439,7.497230,6.123419,4.555567,1.407552,0,7.392612,1.680292,0.999209,2.603448,5.108647,1.399810,3.502049,0.335656,107.314692,28.759226,6.609424,0.845780,0.382382,0,21.201013,0,0,3.917006,0,0,2.056798,0,0,0,0,1.225275,1.515217,9.184107,0.727863,10.226149
Amerikaanse nerts,"Mustela vison Schreber, 1777",Mvis,0.157740,0,0,0,0,0,0,0,0, 0.045156,0.023731,0.012501,0,0, 0.045816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.030537,0.000154,0,0,0,0,0,0,0,0, 0.001375,0.000272,0.000232,0,0, 0.002525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.001025,2.046976,0,0,0,0,0,0,0,0,18.224152,3.610820,3.070792,0,0,33.459098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.583598
Canadese guldenroede,Solidago canadensis L.,Sc,0.238337,0,0.003322,0.010874,0.007047,0,0.011595,0.006539,0.000669,0.002530,0.002951,0.007427, 0.014261, 0.048076,0,0.004724,0.002413,0,0.001428, 0.003982,0.006554,0.002306,0.003797,0.001152,0,0, 0.005753,0,0.002364,0,0.001555,0.001428,0.002321, 0.025630, 0.034390,0.012224,0.007320,0,0.003706,0.004990,0,0.002014,0.004895,0.003597,0,0.007029,0.005698,0.000565,0.001647,0.000724,0.002943, 0.017487, 0.021526,0,0.005032,0.001012,0,0.004632, 0.024418,0.001735,0.001346,0.004216,0.001355,0,0, 0.016231,0,0.008204,0,0.005969,0.001137,0.002786, 0.038996, 0.018588,0.011975,0.004255,0,0.002660,3.092870,0,1.248109,3.034320,2.229934,0,4.356753,3.531851,0.350325,1.020958,0.449032,1.824554,10.839458,13.343223,0,3.119162,0.627424,0,2.871120,15.135709,1.075388,0.834266,2.613516,0.839949,0,0,10.061145,0,5.085618,0,3.699841,0.704939,1.726931,24.172317,11.522117,7.422992,2.637516,0,1.648673
reuzenbalsemien,Impatiens glandulifera Royle,Ig,0.253308,0.000911,0.007906,0.011523,0.009839,0.000154,0.007714,0.009950,0.003958,0.006207,0.050164,0.017627,0.009739,0.008681,0.000087,0,0.019241,0.000306,0.003955,0.000754,0.017535,0.002328,0.004027,0.000888,0.000726,0,0.004239,0.000840,0.001761,0.003224,0.002128,0.001717,0.010547,0.000782,0.021770,0.005535,0.000280,0.000865,0.005396,0.049148,0.008114,0.044415,0.048076,0.046551,0.005862,0.043337,0.080357,0.030980,0.037455,0.114123,0.064742,0.110685,0.036025,0.000950,0,0.074820,0.008928,0.118876,0.042829,0.043020,0.012593,0.041451,0.009681,0.003957,0,0.110849,0.010760,0.056649,0.095296,0.075669,0.012671,0.117342,0.011030,0.109056,0.050256,0.001511,0.009383,0.035885,3.287138,0.542659,2.970563,3.215446,3.113439,0.392034,2.898448,5.374434,2.072026,2.505060,7.632804,4.330105,7.402821,2.409446,0.063528,0,5.004096,0.597122,7.950701,2.864509,2.877240,0.842233,2.772344,0.647459,0.264656,0,7.413846,0.719637,3.788806,6.373602,5.060871,0.847433,7.848059,0.737717,7.293896,3.361230,0.101040,0.627538,2.400044
Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",Et,0.010543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.010543,0,0,0,0,0,0,0,0,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.002035,0,0,0,0,0,0,0,0,0.136820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.078206,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,"Faxonius limosus Rafinesque, 1817",Fl,0.282286,0.005093, 0.028892, 0.039677, 0.041293, 0.013198,0.024693,0.011578,0,0,0.015500,0.004420, 0.013923,0.016345,0,0,0.009466,0.004420,0, 0.009188,0,0,0.008841,0,0,0, 0.015727,0,0,0.003931,0,0,0.004420, 0.011679,0,0,0,0,0,0.001909,0.001581, 0.005658, 0.005771, 0.006811, 0.017502,0.004836,0.003260,0,0,0.001229,0.000566, 0.005516,0.002365,0,0,0.001283,0.004503,0, 0.018206,0,0,0.003172,0,0,0, 0.014337,0,0,0.004051,0,0,0.001714, 0.005742,0,0,0,0,0,3.663191,3.033872,10.855125,11.071434,13.066442,33.576420,9.277966,6.253686,0,0,2.358448,1.085880,10.582433,4.536578,0,0,2.461792,8.638637,0,34.927310,0,0,6.085937,0,0,0,27.505321,0,0,7.771861,0,0,3.289120,11.015231,0,0,0,0,0
blauwbandgrondel,"Pseudorasbora parva Temminck & Schlegel, 1846",Pp,0.257433,0,0.006483,0.009353, 0.088097,0,0.023769,0,0.007540,0.007093,0.032247,0, 0.018817,0.022221,0,0.006162,0.001569,0,0, 0.004052,0,0,0,0.008104,0,0,0.002942,0,0,0,0,0,0,0.002757,0.008104,0.003733,0,0.004052,0.000338,0.001900,0,0.001385,0.001484, 0.015851,0,0.005078,0,0.002244,0.001628,0.002790,0, 0.008133,0.003507,0,0.002314,0.000232,0,0, 0.008759,0,0,0,0.003360,0,0,0.002926,0,0,0,0,0,0,0.001478,0.001544,0.001289,0,0.001672,0.000086,3.340671,0,2.435615,2.609705,27.876445,0,8.931137,0,3.946778,2.862473,4.906720,0,14.302366,6.167313,0,4.068861,0.408071,0,0,15.403192,0,0,0,5.908125,0,0,5.146218,0,0,0,0,0,0,2.599859,2.715240,2.266941,0,2.940415,0.150411
struikaster,Baccharis halimifolia L.,Bh,0.323970,0,0,0.009671,0,0,0,0,0,0,0,0,0,0, 0.016978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.297321,0,0,0.001583,0,0,0.001016,0,0,0,0,0,0,0,0,0,0, 0.004668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.040333,0,0,4.204114,0,0,2.698665,0,0,0,0,0,0,0,0,0,0,12.398580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.132628,0,0
zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",Nm,0.092946,0,0.004679,0.022485,0,0,0,0,0,0,0.041835,0,0.002524,0,0.000500,0,0,0,0,0,0,0,0,0,0,0, 0.010628,0,0, 0.007510,0,0,0,0,0,0,0,0,0.002786,0.000518,0,0.000755,0.002695,0,0,0,0,0,0,0.002734,0,0.000824,0,0.000157,0,0,0,0,0,0,0,0,0,0,0, 0.007983,0,0, 0.006376,0,0,0,0,0,0,0,0,0.000532,1.206150,0,1.757794,6.274252,0,0,0,0,0,0,6.365475,0,1.918156,0,0.365354,0,0,0,0,0,0,0,0,0,0,0,18.587148,0,0,14.846524,0,0,0,0,0,0,0,0,1.239355
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,0.443360,0,0.017575,0.007433,  0.391581,0,0,0,0,0,0.003793,0,0,0,0,0,0,0,0,0,0,0,0.003479,0,0,0,0,0,0,0,0,0,0,0,0.019498,0,0,0,0,0.003495,0,0.004011,0.001260,  0.075275,0,0,0,0,0,0.000351,0,0,0,0,0,0,0,0,0,0,0,0.001455,0,0,0,0,0,0,0,0,0,0,0,0.003969,0,0,0,0,5.753418,0,6.603213,2.074177,123.907993,0,0,0,0,0,0.577093,0,0,0,0,0,0,0,0,0,0,0,2.394909,0,0,0,0,0,0,0,0,0,0,0,6.532797,0,0,0,0
beverrat,"Myocastor coypus Molina, 1782",Mc,0.470289,0,0.009531,0.017147,0.008573,0,0.010476, 0.142373,0,0.011555,0.027508,0,0,0.013738,0,0,0,0,0,0,0,0,0,0,0,0,  0.178383,0, 0.033859,0,0,0.008573,0,0,0.008573,0,0,0,0,0.001640,0,0.000962,0.001286,0.000729,0,0.001058, 0.020667,0,0.001253,0.001125,0,0,0.001025,0,0,0,0,0,0,0,0,0,0,0,0,  0.083847,0, 0.019578,0,0,0.001137,0,0,0.000772,0,0,0,0,6.102879,0,3.581003,4.784526,2.712843,0,3.936296,76.900637,0,4.663308,4.185606,0,0,3.812836,0,0,0,0,0,0,0,0,0,0,0,0,311.984171,0,72.846855,0,0,4.231571,0,0,2.872452,0,0,0,0
moerashyacint,Pontederia cordata L.,Pco,0.401352,0, 0.030278,0.026634, 0.084342,  0.040532, 0.063994, 0.021145,0,0,0.023569,0.003390,0,0.012162,0,0,0.016587, 0.006337,0, 0.009131,0.038491,0,0.001194,0.006590,0.007255,0,0,0,0,0,0.002653,0,0,0,0,0,0,0.007065,0,0.001821,0, 0.003977,0.002598, 0.009331,  0.036051, 0.008407, 0.003993,0,0,0.001254,0.000291,0,0.001180,0,0,0.001508, 0.004330,0, 0.012136,0.002208,0,0.000287,0.001680,0.000924,0,0,0,0,0,0.002207,0,0,0,0,0,0,0.001793,0,5.208287,0,11.375904,7.431920,26.688298,103.112975,24.044967,11.421406,0,0,3.586273,0.832773,0,3.375474,0,0,4.313780,12.385160,0,34.711742,6.315681,0,0.822145,4.804448,2.643138,0,0,0,0,0,6.311269,0,0,0,0,0,0,5.126969,0
vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,Pq,0.192423,0,0,0.015015,0.003964,0,0.009386,0.004466,0,0,0.006353,0,0,0.014296,0,0,0.005877,0,0, 0.009386,0.005800,0.013162,0,0,0.008219,  0.009768,0,0,0, 0.009386,0,0,0,0, 0.050167,0,0.027177,0,0,0.000613,0,0,0.001029,0.000308,0,0.000866,0.000592,0,0,0.000237,0,0,0.000974,0,0,0.000375,0,0, 0.008759,0.000234,0.001169,0,0,0.000735,  0.024703,0,0,0, 0.004555,0,0,0,0, 0.004126,0,0.002404,0,0,2.497041,0,0,4.189820,1.254390,0,3.526621,2.412066,0,0,0.966592,0,0,3.967918,0,0,1.528497,0,0,35.678763,0.951738,4.761179,0,0,2.994305,100.629306,0,0,0,18.554794,0,0,0,0,16.808257,0,9.792691,0,0
valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,Pi,0.134646,0,0.011455,0.008594,0.002891, 0.009923,0.013933,0.003630,0.000415,0,0.010483,0.003063,0.000900,0.016430,0,0,0.005037,0,0, 0.004099,0.001440,0.001684,0.001595,0,0.003663, 0.001328,0.001167,0,0,0,0.001972,0.004099,0,0,0.005423,0.001556,0.019864,0,0,0.000982,0,0.002419,0.001348,0.000514, 0.014190,0.002943,0.001102,0.000122,0,0.000897,0.000423,0.000384,0.002563,0,0,0.000736,0,0, 0.008759,0.000133,0.000342,0.000617,0,0.000750, 0.007690,0.001147,0,0,0,0.002636,0.001137,0,0,0.001021,0.000531,0.004023,0,0,1.747277,0,4.303936,2.397913,0.914924,25.244989,5.235312,1.960846,0.217399,0,1.595081,0.752497,0.684004,4.560104,0,0,1.310036,0,0,15.582195,0.236216,0.609251,1.097971,0,1.334523,13.681647,2.040839,0,0,0,4.690488,2.023229,0,0,1.816866,0.944810,7.157393,0,0
Afghaanse duizendknoop,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Kp,0.258011, 0.026612,0, 0.084277, 0.034525,0,0.016051, 0.024560,0,0,0,0.006874,0.004588,0,0,0,0.024392, 0.010778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023793,0,0.001559,0,0,0.000316, 0.001497,0, 0.002221, 0.001032,0,0.000570, 0.001253,0,0,0,0.000160,0.000329,0,0,0,0.000599, 0.001990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000753,0,0.000053,0,0,3.348171,15.851355,0,23.516513,10.924892,0,6.031063,13.265591,0,0,0,1.688723,3.487044,0,0,0,6.343708,21.062996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.971772,0,0.561879,0,0
grote waterteunisbloem,Ludwigia grandiflora (Michx.) Greuter & Burdet,Lgr,0.225260,0.008766,0, 0.047506,0.020059,0.001498,0.003073,0,0,0.005046,0.022231,0.003130,0.000001, 0.097682,0.003570,0.001112,0.002212,0,0,0.001235,0,0,0.001112,0,0,0,0.002871,0,0,0,0,0,0,0,0.000609,0.000998,0,0.001112,0.001437,0.006057,0.010819,0, 0.027466,0.013151,0.007893,0.002392,0,0,0.004220,0.007009,0.001593,0.000002, 0.056174,0.005402,0.001521,0.001192,0,0,0.009727,0,0,0.001586,0,0,0,0.010405,0,0,0,0,0,0,0,0.000423,0.001256,0,0.001672,0.001325,2.923174,5.221450,0,13.255816,6.347176,3.809631,1.154476,0,0,2.036649,3.382706,0.768789,0.000989,27.111353,2.607374,0.734288,0.575393,0,0,4.694322,0,0,0.765515,0,0,0,5.021612,0,0,0,0,0,0,0,0.203942,0.606094,0,0.806958,0.639270
wasbeer,"Procyon lotor L., 1758",Plo,0.411707,0,0.004490,0, 0.05015,0,0.022993,0.006844,0.001265,0.007673,0.023118,0,0, 0.087758,0,0, 0.119805,0,0,0,0.012200,0,0,0,0.001432,0,0,0,0,0,0,0.018307,0.011638,0.006962,0.014530, 0.020749,0.001793,0,0,0.001485,0,0.000469,0, 0.00441,0,0.002401,0.001027,0.000184,0.000861,0.000978,0,0, 0.006769,0,0, 0.008659,0,0,0,0.000556,0,0,0,0.000145,0,0,0,0,0,0,0.002511,0.002407,0.001825,0.001353, 0.003502,0.000180,0,0,5.342667,0,1.687048,0,15.86895,0,8.639234,3.696704,0.662215,3.096833,3.517606,0,0,24.356850,0,0,31.157434,0,0,0,2.001805,0,0,0,0.521865,0,0,0,0,0,0,9.035727,8.659442,6.566510,4.868375,12.599167,0.646033,0,0
gele maskerbloem,Erythranthe guttata (DC.) G.L.Nesom,Eg,0.187695,0,0.007313,0.020203, 0.032416,0,0.007022,0,0.006092,0.006419,0.030690,0,0,0,0,0,0.014513,0, 0.007278,0,0.019011,0,0,0.004619,0.000005,0,0.003521,0.006419,0,0,0,0,0,0,0.001557,0.012660,0,0,0.007956,0.000874,0,0.000986,0.002023, 0.003682,0,0.000947,0,0.001145,0.000930,0.001676,0,0,0,0,0,0.001355,0, 0.005251,0,0.001120,0,0,0.001209,0.000001,0,0.002210,0.001973,0,0,0,0,0,0,0.000187,0.002759,0,0,0.001270,2.435696,0,2.747734,5.637414,10.257269,0,2.638570,0,3.188715,2.590672,4.669747,0,0,0,0,0,3.774263,0,14.630497,0,3.119376,0,0,3.367759,0.001982,0,6.157347,5.496633,0,0,0,0,0,0,0.521692,7.687577,0,0,3.539162
rode Amerikaanse rivierkreeft,"Procambarus clarkii Girard, 1852",Pcl,0.065936,0,0,0,0.003749,0,0,0,0,0.008212,0.015776,0,0,0.001328, 0.034188,0,0,0,0,0,0,0,0,0.000965,0,0,0,0,0,0,0,0,0,0.001718,0,0,0,0,0,0.000526,0,0,0,0.000729,0,0,0,0,0.002037,0.001475,0,0,0.000226, 0.015343,0,0,0,0,0,0,0,0,0.000432,0,0,0,0,0,0,0,0,0,0.000995,0,0,0,0,0,0.855636,0,0,0,1.186452,0,0,0,0,3.314083,2.400471,0,0,0.368473,24.967175,0,0,0,0,0,0,0,0,0.703569,0,0,0,0,0,0,0,0,0,1.619911,0,0,0,0,0
marmergrondel,"Proterorhinus semilunaris (Heckel, 1837)",Ps,0.220609,0, 0.028039, 0.056221,0.028121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.030379, 0.028121,0,0, 0.024717,0,0, 0.025010,0,0,0,0,0,0,0,0,0,0.000235,0, 0.000863, 0.001285,0.000729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.001714, 0.001680,0,0, 0.003542,0,0, 0.004051,0,0,0,0,0,0,0,0,0,2.862808,0,10.534681,15.687800,8.898355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.913012,20.501198,0,0,43.228278,0,0,49.442256,0,0,0,0,0,0,0,0,0
kleine waterteunisbloem,Ludwigia peploides (Kunth) P.H. Raven,Lp,0.071824,0,0,0,0,0,0.020916,0,0,0,0,0,0,0.033097,0,0,0,0,0, 0.017811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000065,0,0,0,0,0,0.000547,0,0,0,0,0,0,0.000639,0,0,0,0,0, 0.004714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932051,0,0,0,0,0,7.859018,0,0,0,0,0,0,9.185866,0,0,0,0,0,67.706542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egeria,Elodea densa (Planch.) Casp.,Ed,0.136877,0,0,0,0,0, 0.050347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051163,0,0,0,0,0, 0.035368,0,0,0,0,0,0,0,0,0,0,0,0,0.000081,0,0,0,0,0, 0.000866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384,0,0,0,0,0, 0.002831,0,0,0,0,0,0,0,0,0,0,0,0,1.776239,0,0,0,0,0,18.917212,0,0,0,0,0,0,0,0,0,0,0,0,0,8.394888,0,0,0,0,0,61.857018,0,0,0,0,0,0,0,0,0,0,0,0
ongelijkbladig vederkruid,Myriophyllum heterophyllum Michaux,Mh,0.209115, 0.043368, 0.042510,0,0,0,0,0,0,0,0,0,0,0.015786,0,0,0,  0.107451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364, 0.003469, 0.002145,0,0,0,0,0,0,0,0,0,0,0.000588,0,0,0,  0.028199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.713660,25.831630,15.971543,0,0,0,0,0,0,0,0,0,0,4.381448,0,0,0,209.989613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische boomwurger,Celastrus orbiculatus Thunb.,Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zijdeplant,Asclepias syriaca L.,As,0.084276,0,0,0,0,0,0,0,0,0,0,0,0,0.035103,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.049173,0,0,0,0,0,0,0,0,0,0,0,0.000073,0,0,0,0,0,0,0,0,0,0,0,0,0.000653,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.002822,0,0,0,0,0,0,0,0,0,0,0,1.093636,0,0,0,0,0,0,0,0,0,0,0,0,9.742651,0,0,0,0,0,0,0,0,0,0,0,0,0,42.106238,0,0,0,0,0,0,0,0,0,0,0
waterhyacint,Eichhornia crassipes (Martius) Solms,Ec,0.358368,0,0, 0.266707,0,0,0,0,0,0,0,0,0,0,0, 0.091662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117,0,0, 0.001871,0,0,0,0,0,0,0,0,0,0,0, 0.001521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.650497,0,0,74.420997,0,0,0,0,0,0,0,0,0,0,0,60.525541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watersla,Pistia stratiotes L.,Pst,0.286551,0,0, 0.126464, 0.031704,0,0,0,0,0,0.029405,0,0,0.027410,0,0,0.027410,0,0,0,0,0, 0.027410,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016746,0,0,0.000313,0,0, 0.002966, 0.000843,0,0,0,0,0,0.000376,0,0,0.000639,0,0,0.000599,0,0,0,0,0, 0.001586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507,0,0,3.718527,0,0,35.288047,10.032127,0,0,0,0,0,4.474226,0,0,7.607648,0,0,7.128584,0,0,0,0,0,18.869210,0,0,0,0,0,0,0,0,0,0,0,0,0,6.034183,0,0
Californische rivierkreeft,"Pacifastacus leniusculus Dana, 1852",Plen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gestreepte Amerikaanse rivierkreeft,"Procambarus acutus (Girard, 1852)",Pa,0.373977,0,0, 0.088523,0,0,  0.281159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000440,0,0, 0.002240,0,0,  0.009581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.853051,0,0,24.701279,0,0,105.642739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaapse waterlelie,Aponogeton distachyos L.f.,Ad,0.036375,0,0,0,0,0,0,0,0,0,0,0,0, 0.036375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000052,0,0,0,0,0,0,0,0,0,0,0,0, 0.001105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472028,0,0,0,0,0,0,0,0,0,0,0,0,10.095633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grijze eekhoorn,"Sciurus carolinensis Gmelin, 1788",Sca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantsjoerese wilde rijst,Zizania latifolia (Griseb.) Hance ex F.Muell.,Zl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallas' eekhoorn,"Callosciurus erythraeus Pallas, 1779",Ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasaronskelk,Lysichiton americanus Hultén & H. St. John,La,0.162531,0,0,0,0,0,0.023723, 0.036951,0,0,0,0.023873, 0.021065,0.019068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.021241,0,0, 0.016610,0,0,0,0,0,0.000247,0,0,0,0,0,0.001043, 0.002335,0,0,0,0.000686, 0.001873,0.000619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.005911,0,0, 0.001833,0,0,0,0,0,2.109146,0,0,0,0,0,8.913666,19.958278,0,0,0,5.864518,16.011060,5.292329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.523339,0,0,15.666067,0,0,0,0,0
